@RELATION suicidal
@ATTRIBUTE class {1, 0}
@ATTRIBUTE sentence_count NUMERIC
@ATTRIBUTE average_word_length NUMERIC
@ATTRIBUTE word_I  NUMERIC
@ATTRIBUTE word_! NUMERIC
@ATTRIBUTE average_sentence_length NUMERIC

@DATA
1,26,3.32472324723,15,0,10.4230769231
1,9,3.66202090592,23,0,31.8888888889
1,22,3.44705882353,33,0,19.3181818182
0,1,5.77777777778,0,0,9.0
0,5,3.48333333333,0,0,12.0
1,33,3.66947960619,37,0,21.5454545455
0,12,3.75806451613,4,0,15.5
1,8,3.3660130719,16,0,19.125
0,13,3.89855072464,5,0,15.9230769231
1,17,3.71571906355,19,0,17.5882352941
0,14,3.07446808511,4,1,6.71428571429
1,17,3.65727699531,11,0,12.5294117647
0,41,3.98240866035,9,2,18.0243902439
0,7,4.08928571429,2,4,16.0
1,3,3.08,1,0,8.33333333333
1,3,3.64583333333,4,0,16.0
0,13,3.94039735099,5,1,11.6153846154
1,17,3.58391608392,14,0,16.8235294118
0,10,3.69262295082,8,0,24.4
0,3,4.09523809524,3,0,28.0
1,43,3.48492791612,45,0,17.7441860465
1,1,4.52631578947,0,0,19.0
1,34,3.34437086093,29,1,13.3235294118
1,38,3.53896713615,33,3,28.0263157895
0,27,3.7847082495,16,0,18.4074074074
0,7,3.125,4,3,13.7142857143
1,7,3.59493670886,3,0,11.2857142857
0,8,3.42857142857,4,0,7.875
0,42,3.93762993763,20,0,22.9047619048
0,9,3.83734939759,7,0,18.4444444444
0,76,3.56280991736,44,2,15.9210526316
1,16,3.06829268293,14,0,12.8125
1,7,3.68292682927,6,1,23.4285714286
0,9,3.484375,10,0,21.3333333333
0,10,3.27272727273,5,0,14.3
1,2,2.76923076923,1,0,6.5
1,35,3.67924528302,56,0,18.1714285714
1,13,3.81707317073,15,0,18.9230769231
1,18,3.48039215686,9,2,11.3333333333
0,5,3.7358490566,1,0,10.6
0,66,3.37127371274,20,8,11.1818181818
1,9,3.50381679389,7,0,14.5555555556
1,6,3.9746835443,5,0,13.1666666667
1,3,3.1,0,0,6.66666666667
1,6,3.15384615385,9,0,17.3333333333
0,20,3.87747035573,10,0,12.65
1,39,3.45367847411,39,0,18.8205128205
1,1,3.47474747475,4,0,99.0
0,12,3.45918367347,1,3,8.16666666667
0,8,3.58461538462,8,1,16.25
0,10,3.62111801242,8,0,16.1
0,13,3.78095238095,8,0,16.1538461538
1,35,3.48043478261,41,1,13.1428571429
1,1,3.75,7,0,60.0
0,21,3.76524390244,13,0,15.619047619
1,25,3.85008237232,37,0,24.28
1,7,3.44910179641,16,0,23.8571428571
1,42,3.50110864745,29,3,10.7380952381
1,2,6.86486486486,0,0,18.5
0,7,4.48795180723,0,0,23.7142857143
0,14,3.75889328063,11,1,18.0714285714
0,10,3.53768844221,5,2,19.9
1,12,3.60084033613,2,2,19.8333333333
0,4,4.03448275862,6,0,36.25
0,22,3.36644591611,39,0,20.5909090909
0,9,3.73684210526,10,0,23.2222222222
0,12,3.72105263158,16,0,15.8333333333
0,26,3.88198757764,13,0,18.5769230769
1,26,3.72835820896,26,1,12.8846153846
1,3,3.51086956522,2,0,30.6666666667
1,8,3.53333333333,13,0,22.5
0,19,3.3,8,1,13.1578947368
1,12,3.47653429603,27,0,23.0833333333
1,19,3.59103641457,28,0,18.7894736842
0,134,3.68373357499,77,1,16.4701492537
0,5,3.2397260274,2,6,29.2
1,10,3.86470588235,18,0,17.0
1,20,3.34560906516,24,0,17.65
1,45,3.4289276808,21,10,8.91111111111
0,20,3.72891566265,15,0,16.6
1,14,3.58947368421,15,0,13.5714285714
0,58,3.71962616822,29,0,18.4482758621
1,58,3.41379310345,41,1,11.0
0,4,3.41666666667,5,3,27.0
1,50,3.64981949458,31,0,11.08
1,7,3.79027355623,18,0,47.0
0,30,3.68235294118,25,0,19.8333333333
1,65,3.89659685864,85,7,23.5076923077
0,5,3.35135135135,3,1,14.8
0,13,3.48666666667,18,4,23.0769230769
0,28,3.48738170347,37,3,22.6428571429
1,1,3.72413793103,2,0,29.0
1,43,3.40476190476,51,0,15.6279069767
1,58,3.58793324775,56,0,13.4310344828
0,15,3.61583577713,10,2,22.7333333333
0,7,3.63414634146,2,4,17.5714285714
0,9,3.76068376068,15,0,13.0
1,2,3.63333333333,2,0,15.0
0,30,3.72493573265,15,0,12.9666666667
0,16,3.78145695364,8,7,18.875
1,26,3.4862745098,24,0,9.80769230769
1,17,3.78630136986,12,0,21.4705882353
1,22,3.65699208443,27,0,17.2272727273
0,5,3.61016949153,12,0,23.6
1,16,3.65111561866,24,0,30.8125
0,11,3.61904761905,4,0,9.54545454545
0,6,4.70930232558,1,0,14.3333333333
0,10,2.8679245283,0,22,5.3
0,8,4.26737967914,2,0,23.375
1,9,3.37113402062,12,0,10.7777777778
0,4,4.54464285714,0,0,28.0
0,4,3.34444444444,8,0,22.5
1,4,3.82352941176,1,0,4.25
